Working on data:  bbbp
1026 117 142 285
Starting upsampling for data: bbbp
Model loaded!!
DisentGNN(
  (gnn): MultiViewGCN(
    (conv1): GCNConv(9, 32)
    (conv2): GCNConv(32, 64)
    (conv3): GCNConv(64, 64)
    (lin1): Linear(in_features=64, out_features=32, bias=True)
    (lin2): Linear(in_features=32, out_features=64, bias=True)
  )
  (mlp_z1): Linear(in_features=64, out_features=16, bias=True)
  (mlp_z2): Linear(in_features=64, out_features=16, bias=True)
  (lin1): Linear(in_features=16, out_features=32, bias=True)
  (lin2): Linear(in_features=16, out_features=32, bias=True)
  (target_lin): Linear(in_features=32, out_features=1, bias=True)
  (sensitive_lin): Linear(in_features=32, out_features=9, bias=True)
  (layer_norm_1): LayerNorm((1,), eps=1e-05, elementwise_affine=True)
  (layer_norm_2): LayerNorm((9,), eps=1e-05, elementwise_affine=True)
  (layer_norm_3): LayerNorm((16,), eps=1e-05, elementwise_affine=True)
  (batch_norm): BatchNorm1d(1, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
)
Criterion name:  pair_loss_cos
/scratch/zheng/conda/envs/my_env/lib/python3.8/site-packages/torch_geometric/deprecation.py:22: UserWarning: 'data.DataLoader' is deprecated, use 'loader.DataLoader' instead
  warnings.warn(out)
Epoch: 14, trloss: 1.3193, trroc: 0.7381, trf1: 0.3421, tracc: 0.6136, valloss: 0.8824, valroc: 0.7820, valf1: 0.3802, valacc: 0.3590, testloss_1: 0.8372, testroc_1: 0.8048, testf1_1: 0.4027, testacc_1: 0.3732, testloss_2: 1.0654, testroc_2: 0.6724, testf1_2: 0.2022, testacc_2: 0.2526.
Epoch: 15, trloss: 1.3411, trroc: 0.7453, trf1: 0.5857, tracc: 0.6772, valloss: 0.7088, valroc: 0.7830, valf1: 0.6438, valacc: 0.5556, testloss_1: 0.6646, testroc_1: 0.8154, testf1_1: 0.6957, testacc_1: 0.6056, testloss_2: 0.9301, testroc_2: 0.6691, testf1_2: 0.5165, testacc_2: 0.4351.
Epoch: 16, trloss: 1.2717, trroc: 0.7549, trf1: 0.6330, tracc: 0.6852, valloss: 0.6475, valroc: 0.7722, valf1: 0.6928, valacc: 0.5983, testloss_1: 0.5912, testroc_1: 0.8277, testf1_1: 0.7677, testacc_1: 0.6761, testloss_2: 0.8673, testroc_2: 0.6743, testf1_2: 0.5892, testacc_2: 0.4912.
Epoch: 17, trloss: 1.2663, trroc: 0.7582, trf1: 0.6946, tracc: 0.7002, valloss: 0.5572, valroc: 0.7660, valf1: 0.7738, valacc: 0.6752, testloss_1: 0.5130, testroc_1: 0.8226, testf1_1: 0.8519, testacc_1: 0.7746, testloss_2: 0.7533, testroc_2: 0.6690, testf1_2: 0.6488, testacc_2: 0.5404.
Epoch: 18, trloss: 1.2691, trroc: 0.7603, trf1: 0.5222, tracc: 0.6665, valloss: 0.8001, valroc: 0.7814, valf1: 0.5113, valacc: 0.4444, testloss_1: 0.7205, testroc_1: 0.8294, testf1_1: 0.6243, testacc_1: 0.5423, testloss_2: 1.0766, testroc_2: 0.6771, testf1_2: 0.4381, testacc_2: 0.3789.
Epoch: 19, trloss: 1.2368, trroc: 0.7632, trf1: 0.5305, tracc: 0.6745, valloss: 0.8277, valroc: 0.7652, valf1: 0.5113, valacc: 0.4444, testloss_1: 0.7260, testroc_1: 0.8274, testf1_1: 0.6400, testacc_1: 0.5563, testloss_2: 1.0696, testroc_2: 0.6766, testf1_2: 0.4658, testacc_2: 0.3965.
Epoch: 20, trloss: 1.2591, trroc: 0.7677, trf1: 0.7022, tracc: 0.6986, valloss: 0.5399, valroc: 0.7601, valf1: 0.8161, valacc: 0.7265, testloss_1: 0.4874, testroc_1: 0.8304, testf1_1: 0.8465, testacc_1: 0.7676, testloss_2: 0.7427, testroc_2: 0.6713, testf1_2: 0.6632, testacc_2: 0.5509.
Epoch: 21, trloss: 1.2207, trroc: 0.7716, trf1: 0.6637, tracc: 0.7210, valloss: 0.6589, valroc: 0.7644, valf1: 0.6968, valacc: 0.5983, testloss_1: 0.5795, testroc_1: 0.8301, testf1_1: 0.7817, testacc_1: 0.6972, testloss_2: 0.9192, testroc_2: 0.6749, testf1_2: 0.5972, testacc_2: 0.4982.
Epoch: 22, trloss: 1.2210, trroc: 0.7734, trf1: 0.7053, tracc: 0.7258, valloss: 0.5987, valroc: 0.7634, valf1: 0.7453, valacc: 0.6496, testloss_1: 0.5280, testroc_1: 0.8297, testf1_1: 0.8098, testacc_1: 0.7254, testloss_2: 0.8583, testroc_2: 0.6788, testf1_2: 0.6264, testacc_2: 0.5228.
Epoch: 23, trloss: 1.2009, trroc: 0.7782, trf1: 0.6039, tracc: 0.6964, valloss: 0.7389, valroc: 0.7647, valf1: 0.6301, valacc: 0.5385, testloss_1: 0.6380, testroc_1: 0.8373, testf1_1: 0.7407, testacc_1: 0.6549, testloss_2: 1.0127, testroc_2: 0.6741, testf1_2: 0.5298, testacc_2: 0.4456.
